"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"BAIAP3",0.114846979854049,-0.114846979854049,0.909947298536777,0.909947298536777,0.979013507944711,0.979013507944712,0.0172149434552458,-0.0172149434552458,"ENSG00000007516","BAIAP3"
"BCAS1",-1.79868066953041,1.79868066953041,0.0903187939226273,0.0903187939226271,0.677390954419705,0.677390954419703,-0.280731322676316,0.280731322676316,"ENSG00000064787","BCAS1"
"BCL6",0.55440114569813,-0.55440114569813,0.58671354361424,0.58671354361424,0.859197391399379,0.85919739139938,0.0717271270651687,-0.0717271270651687,"ENSG00000113916","BCL6"
"BDNF",3.65034001050509,-3.6503400105051,0.00205409236963491,0.00205409236963491,0.404015509595446,0.404015509595447,0.788645760183881,-0.788645760183882,"ENSG00000176697","BDNF"
"BLCAP",1.53103297152191,-1.53103297152191,0.144638093714171,0.144638093714171,0.701756464676482,0.701756464676482,0.139448092860556,-0.139448092860556,"ENSG00000166619","BLCAP"
"C14orf132",-0.675673128754346,0.675673128754347,0.508573591681965,0.508573591681965,0.843008130676733,0.843008130676733,-0.056992700275756,0.0569927002757561,"ENSG00000227051","C14orf132"
"C1QA",-1.69974549821658,1.69974549821658,0.107880393279972,0.107880393279972,0.678211418294955,0.678211418294957,-0.218789130563162,0.218789130563162,"ENSG00000173372","C1QA"
"C1QB",-1.2287674863285,1.2287674863285,0.236333508616712,0.236333508616712,0.749216482183815,0.749216482183814,-0.37001448241075,0.37001448241075,"ENSG00000173369","C1QB"
"C1QL2",1.53027095296494,-1.53027095296494,0.14482550016113,0.14482550016113,0.701756464676482,0.701756464676482,0.25199562824831,-0.25199562824831,"ENSG00000144119","C1QL2"
"C1orf61",0.989808442975661,-0.989808442975661,0.336509325025352,0.336509325025353,0.800139615780116,0.800139615780117,0.0945431899822253,-0.0945431899822253,"ENSG00000125462","C1orf61"
"C3",-0.904233043161914,0.904233043161914,0.378837370708818,0.378837370708818,0.800139615780116,0.800139615780117,-0.215239048421737,0.215239048421737,"ENSG00000125730","C3"
